Transformed_Feature,Mean_Abs_SHAP
cat__Τύπος_X6 M,0.0
cat__Τύπος_X5 M60,0.0
cat__Τύπος_X5 M,0.0
cat__Κατασκευαστής_Suzuki,0.0
cat__Τύπος_ΒEEV-3A,0.0
cat__Τύπος_ΒEEV-3,0.0
cat__Τύπος_ë-C4,0.0
cat__Περιοχή_ΨΥΧΙΚΟ 15452,0.0
cat__Περιοχή_ΧΟΛΑΡΓΟΣ 15562,0.0
cat__Τύπος_iX1,0.0
cat__Περιοχή_ΧΑΛΑΝΔΡΙ 15238,0.0
cat__Τύπος_i3,0.0
cat__Τύπος_i 30,0.0
cat__Τύπος_i 20N,0.0
cat__Τύπος_i 20,0.0
cat__Τύπος_i 10,0.0
cat__Τύπος_e:Ny1,0.0
cat__Τύπος_e-up!,0.0
cat__Τύπος_e-208,0.0
cat__Περιοχή_ΑΓΙΑ ΒΑΡΒΑΡΑ 12351,0.0
cat__Περιοχή_ΑΓ. ΙΩΑΝΝΗΣ ΡΕΝΤΗΣ 18233,0.0
cat__Περιοχή_ΧΑΛΑΝΔΡΙ 15233,0.0
cat__Καύσιμο_LPG / Βενζίνη,0.0
cat__Καύσιμο_CNG / Βενζίνη,0.0
cat__Τύπος_Τiggo 8,0.0
