Κατασκευαστής,Τύπος,Εγγραφή,Ηλικία,Καύσιμο,Μετάδοση,Κυβικά,Ιπποδύναμη,Χιλιόμετρα,Κατάσταση,Περιοχή,Τιμή
Renault,Clio,2026.0,0.0,Βενζίνη,Χειροκίνητο,1200.0,115.0,0.0,Καινούργιο,ΧΑΙΔΑΡΙ 12461,22900.0
Dacia,Sandero,2025.0,1.0,LPG / Βενζίνη,Χειροκίνητο,1000.0,100.0,0.0,Καινούργιο,ΧΑΙΔΑΡΙ 12461,17890.0
Audi,Q3,2025.0,1.0,Βενζίνη,Αυτόματο,1500.0,150.0,3400.0,Μεταχειρισμένο,ΑΡΓΥΡΟΥΠΟΛΗ 16452,50900.0
Cupra,Terramar,2025.0,1.0,Plug-in Hybrid Βενζίνης,Αυτόματο,1400.0,272.0,15000.0,Μεταχειρισμένο,ΓΛΥΦΑΔΑ 16562,51500.0
BMW,X3,2025.0,1.0,Plug-in Hybrid Βενζίνης,Χειροκίνητο,2000.0,292.0,20000.0,Μεταχειρισμένο,ΚΟΡΩΠΙ 19400,50000.0
Peugeot,2008,2025.0,1.0,Βενζίνη,Χειροκίνητο,1200.0,100.0,2700.0,Μεταχειρισμένο,ΚΗΦΙΣΙΑ 14561,19400.0
Toyota,Aygo (X),2025.0,1.0,Βενζίνη,Αυτόματο,1000.0,72.0,7000.0,Μεταχειρισμένο,ΜΑΡΟΥΣΙ 15124,20700.0
Mazda,2 Hybrid,2025.0,1.0,Υβριδικό Βενζίνης,Αυτόματο,1500.0,116.0,6500.0,Μεταχειρισμένο,ΠΕΤΡΟΥΠΟΛΗ 13231,20500.0
Volvo,EX30,2025.0,1.0,Ηλεκτρικό,Αυτόματο,,428.0,2924.0,Μεταχειρισμένο,ΧΟΛΑΡΓΟΣ 15562,49900.0
LandRover,Range Rover Sport,2025.0,1.0,Plug-in Hybrid Βενζίνης,Αυτόματο,3000.0,460.0,7600.0,Μεταχειρισμένο,ΑΘΗΝΑ 10674,117000.0
